name,stars
sferik/active_emoji,526
github/email_reply_parser,525
Shopify/shopify_api,524
Anthony-Gaudino/jekyll-multiple-languages-plugin,516
travis-ci/travis-build,514
nsidc/vagrant-vsphere,509
discourse/onebox,509
ruby/rdoc,507
r18n/r18n,505
drujensen/fib,504
activeadmin/arbre,504
uken/fluent-plugin-elasticsearch,503
alphagov/whitehall,503
glejeune/Ruby-Graphviz,501
keepcosmos/terjira,500
tigrish/devise-i18n,498
rsim/oracle-enhanced,497
piotrmurach/pastel,496
daddyz/phonelib,495
Vimjas/vim-python-pep8-indent,495
mattbrictson/airbrussh,494
holidays/holidays,494
jnunemaker/crack,493
orta/pragmatic-testing,493
cequel/cequel,492
hypriot/image-builder-rpi,491
thoughtbot/formulaic,488
fnando/recurrence,487
JasonBarnabe/greasyfork,487
dry-rb/dry-types,485
openSUSE/osem,484
davydovanton/sidekiq-statistic,481
sorah/mamiya,480
Diego81/omnicontacts,479
sumoheavy/jira-ruby,476
flant/dapp,467
oesmith/puffing-billy,467
markets/invisible_captcha,467
mozilla/ssh_scan,466
libvips/ruby-vips,464
igor-makarov/xcake,461
thuehlinger/daemons,460
biola/turnout,459
lostisland/faraday_middleware,458
rubykube/peatio,453
krobertson/deb-s3,449
nasa/earthdata-search,447
voxpupuli/puppet-nginx,446
jruby/activerecord-jdbc-adapter,445
tmatilai/vagrant-proxyconf,444
guilhermesad/rspotify,442
denji/homebrew-nginx,441
dannnylo/rtesseract,440
exAspArk/batch-loader,440
fluent/fluentd-ui,438
Kapeli/cheatsheets,438
rubymotion/sugarcube,436
SciRuby/iruby,433
ilyakatz/data-migrate,429
wpeterson/emoji,427
palkan/logidze,427
castwide/solargraph,426
test-kitchen/kitchen-docker,423
meew0/discordrb,422
jbox-web/ajax-datatables-rails,422
facebook/IT-CPE,422
rubocop-hq/rubocop-rspec,421
pboling/flag_shih_tzu,419
nevans/resque-pool,418
rocketjob/semantic_logger,416
openSUSE/open-build-service,416
openjournals/joss,416
tmm1/ripper-tags,415
shioyama/mobility,414
Foodcritic/foodcritic,414
trainline-eu/stations,412
github/licensed,412
rails/actiontext,410
reinh/statsd,407
lanrion/weixin_rails_middleware,407
garethr/garethr-docker,407
EthWorks/ethereum.rb,406
rsolr/rsolr,405
pcreux/csv-importer,404
chef/knife-ec2,403
heroku/heroku-buildpack-static,399
Ruenzuo/cocoapods-amimono,397
amatsuda/stateful_enum,397
annict/annict,396
waiting-for-dev/devise-jwt,396
chef/chef-vault,395
barsoom/attr_extras,395
platanus/activeadmin_addons,395
documentcloud/documentcloud,395
nesquena/backburner,394
kamui/retriable,392
markets/maily,389
mhfs/sidekiq-failures,389
tibastral/contrats-francais,389
Homebrew/install,387
tansengming/stripe-rails,386
puppetlabs/puppetlabs-mysql,385
ThoughtWorksStudios/eb_deployer,383
ankane/searchjoy,381
chef-cookbooks/aws,380
chef/chef-dk,379
jasl/wx_pay,376
AloneMonkey/MonkeyDevSpecs,371
calagator/calagator,371
hellostealth/stealth,371
otwcode/otwarchive,368
digitalocean/droplet_kit,368
coinbase/geoengineer,368
rodjek/rspec-puppet,367
seattlerb/ruby_parser,365
testdouble/standard,364
zendesk/biz,362
autolab/Autolab,361
jpmcgrath/shortener,360
rollbar/rollbar-gem,360
ArturT/knapsack,355
wsargent/circuit_breaker,355
jeffreywildman/homebrew-virt-manager,353
openfoodfoundation/openfoodnetwork,353
stephenfewer/grinder,353
hanami/model,351
cfndsl/cfndsl,351
sendgrid/sendgrid-ruby,350
publiclab/plots2,348
jonlives/knife-spork,348
nfedyashev/retryable,348
puppetlabs/puppetlabs-stdlib,347
omniauth/omniauth-oauth2,346
ruby-formatter/rufo,346
adomokos/light-service,345
puppetlabs/puppetlabs-apache,344
orientation/orientation,342
unixcharles/acme-client,342
sous-chefs/java,338
r7kamura/autodoc,338
puppetlabs/beaker,336
ruby-protobuf/protobuf,336
rubytoolbox/rubytoolbox,335
sorentwo/carrierwave-aws,334
WinRb/WinRM,333
dtaniwaki/rack-dev-mark,332
inossidabile/wash_out,332
fluent/fluentd-kubernetes-daemonset,331
sous-chefs/ruby_rbenv,331
softcover/softcover,331
Cellane/awesome-vapor,327
spree-contrib/spree_i18n,327
ruby/spec,327
bioruby/bioruby,325
tom-lord/regexp-examples,324
ledermann/docker-rails,323
cloudinary/cloudinary_gem,321
jekyll/jekyll-import,321
interagent/committee,321
Anupam-dagar/awesome-first-timers,320
olbrich/ruby-units,318
langalex/couch_potato,318
line/line-bot-sdk-ruby,318
sous-chefs/mysql,317
grosser/fast_gettext,317
trusche/httplog,316
prerender/prerender_rails,316
sethvargo/chef-sugar,316
tomatoes-app/tomatoes,315
WeAreFarmGeek/diplomat,314
standardfile/ruby-server,314
brigade/mock_redis,313
mailgun/mailgun-ruby,312
packetfu/packetfu,311
dependabot/dependabot-core,311
lanrion/weixin_authorize,310
roidrage/redis-session-store,307
cloudfoundry/java-buildpack,306
marcandre/backports,305
kivanio/brcobranca,305
davydovanton/awesome-hanami,304
ethereum/homebrew-ethereum,304
honeybadger-io/incoming,302
joshbuddy/jsonpath,301
increments/qiita-markdown,301
test-kitchen/kitchen-vagrant,300
franckverrot/activevalidators,299
jpmobile/jpmobile,298
liufengyun/hashdiff,298
dradis/dradis-ce,298
sous-chefs/postgresql,298
basecamp/google_sign_in,296
schacon/git-pulls,294
refinery/refinerycms-blog,294
etewiah/property_web_builder,293
zilverline/sequent,293
decidim/decidim,292
grodowski/undercover,292
danmunn/redmine_dmsf,291
sous-chefs/redisio,290
daveverwer/iOSDevDirectory,288
mikker/passwordless,287
vmware/rbvmomi,284
exercism/ruby,284
codenize-tools/roadworker,283
northworld/google_calendar,282
nebulab/simple_command,281
lusis/chef-logstash,280
benbalter/licensee,280
settingslogic/settingslogic,276
citusdata/activerecord-multi-tenant,274
Growstuff/growstuff,273
voxpupuli/puppet-jenkins,271
shawn42/gamebox,270
TalentBox/sequel-rails,268
awslabs/logstash-output-amazon_es,267
CocoaPods/pod-template,266
dkubb/ice_nine,265
janlelis/clipboard,264
JsonApiClient/json_api_client,264
puppetlabs/puppetlabs-firewall,264
Linuxbrew/homebrew-core,264
mizzy/specinfra,261
guard/rb-inotify,261
frab/frab,259
oscar-stack/vagrant-hosts,258
jbox-web/redmine_git_hosting,257
ruby2d/ruby2d,256
sverrirs/jekyll-paginate-v2,256
mysociety/alaveteli,255
sue445/jenkins-backup-script,254
janlelis/paint,254
rails/execjs,254
piotrmurach/tty-spinner,253
yuki24/rambulance,253
Katello/katello,253
cyberark/conjur,253
Dynamoid/dynamoid,253
netguru/react_webpack_rails,252
googleads/google-api-ads-ruby,252
patsplat/plist,251
algolia/algoliasearch-rails,251
caldwell/build-emacs,250
kalasjocke/sinatra-asset-pipeline,250
dev-sec/linux-baseline,250
rails/actionpack-page_caching,248
socketry/timers,248
csm123/starburst,248
pitluga/supply_drop,248
kslazarev/numbers_and_words,247
busterc/awesome-cordova,247
Ada-Developers-Academy/textbook-curriculum,246
ruckus/quickbooks-ruby,245
sous-chefs/apache2,243
aki017/slack-ruby-gem,239
dry-rb/dry-monads,239
googleapis/google-auth-library-ruby,239
travis-ci/travis-api,239
grosser/maxitest,238
discourse/logster,237
hashicorp/vault-ruby,236
mtsmfm/language_server-ruby,234
excid3/jumpstart,234
Codeminer42/cm42-central,234
RubyMoney/monetize,234
savonrb/httpi,234
chef-cookbooks/windows,234
FortySource/forty_facets,233
alphagov/frontend,232
activeadmin/demo.activeadmin.info,232
drbrain/net-http-persistent,230
tongueroo/jets,230
puppetlabs/puppetlabs-vcsrepo,228
hakanensari/peddler,228
prometheus/client_ruby,228
clbustos/rubyvis,225
invernizzi/vagrant-scp,224
drnic/appscrolls,223
purcell/sqlint,223
OSGeo/homebrew-osgeo4mac,223
nofxx/georuby,222
nesaulov/surrealist,222
makandra/consul,222
heroku/umpire,221
bensie/sshkey,221
OWASP/glue,220
puppetlabs/puppetlabs-apt,217
Locale/localeapp,217
yasslab/railsguides.jp,216
abonas/kubeclient,213
grosser/gettext_i18n_rails,212
rabbitmq/chef-cookbook,212
ggiamarchi/vagrant-openstack-provider,212
Microsoft/OMS-Agent-for-Linux,211
dv/redis-semaphore,211
awslabs/aws-fluent-plugin-kinesis,211
chrahunt/docx,211
hashicorp/vault-rails,210
ko1/rubyhackchallenge,210
waynerobinson/xeroizer,210
bodrovis/Sitepoint-source,210
eagletmt/hako,209
themarshallproject/klaxon,209
puppetlabs/puppetlabs-postgresql,209
coingecko/cryptoexchange,208
Azure/azure-sdk-for-ruby,208
david942j/seccomp-tools,207
reinteractive/wallaby,207
yabeda-rb/yabeda,206
alexch/learn_ruby,205
tuwukee/jwt_sessions,205
tamc/excel_to_code,204
datastax/ruby-driver,204
brigade/haml-lint,203
leandromoreira/redlock-rb,203
haconiwa/haconiwa,202
mistydemeo/tigerbrew,202
sudara/alonetone,199
curoverse/arvados,199
18F/identity-idp,199
github/octocatalog-diff,198
quran/quran.com-api,197
chef/knife-vsphere,197
voxpupuli/puppet-python,196
lessy-community/lessy,196
palkan/litecable,196
envato/stack_master,194
rapid7/recog,194
indentlabs/notebook,194
radar/humanize,194
fluent/fluent-plugin-kafka,194
nov/json-jwt,193
aws/aws-codedeploy-agent,193
hanami/controller,193
net-ssh/net-sftp,192
mbj/unparser,192
lewagon/rails-templates,191
prograils/lit,191
emacs-jp/emacs-jp.github.com,191
fluent/fluent-plugin-s3,191
tomykaira/rspec-parameterized,190
jaswope/rack-reverse-proxy,190
skylightio/skylight-ruby,189
NullVoxPopuli/action_cable_client,189
bloomberg/chef-bcpc,188
activeadmin/activeadmin-mongoid,188
fog/fog-aws,186
swistak35/orbacle,186
customink/secondbase,186
rantly-rb/rantly,185
Riskified/timeasure,185
halostatue/diff-lcs,185
MarkUsProject/Markus,184
forward3d/cap-ec2,184
chef/supermarket,182
dry-rb/dry-configurable,182
jedcn/reveal-ck,180
cptactionhank/docker-atlassian-confluence,180
ueno/ruby-gpgme,179
RT-Thread/rtthread-manual-doc,178
tradingview/charting-library-examples,178
huacnlee/carrierwave-aliyun,178
puppetlabs/bolt,178
derrickreimer/sequenced,177
sous-chefs/consul,177
test-kitchen/kitchen-ec2,177
bugsnag/bugsnag-ruby,176
asciidoctor/jekyll-asciidoc,176
minad/mimemagic,176
flyerhzm/uniform_notifier,175
theforeman/smart-proxy,175
archivesspace/archivesspace,175
puppetlabs/puppetlabs-concat,174
trade-informatics/caracal,174
capistrano/rbenv,173
aaronpk/webmention.io,173
AdoptOpenJDK/homebrew-openjdk,172
siwapp/siwapp,172
ekylibre/ekylibre,171
arbox/rails-style-guide,171
voxpupuli/puppet-rabbitmq,171
discourse/discourse_api,170
ThrowTheSwitch/Ceedling,170
ncr/rack-proxy,169
tas50/stove,168
diowa/icare,167
plribeiro3000/jazz_fingers,167
rspec/rspec-its,166
appium/ruby_lib,166
foodcoops/foodsoft,166
anycable/anycable-rails,166
fabric8io/fluent-plugin-kubernetes_metadata_filter,166
rubycentral/cfp-app,165
zzet/ansible-rbenv-role,165
chef-cookbooks/chef-client,165
sensu/sensu-puppet,165
theforeman/foreman_ansible,163
zendesk/racecar,163
ixti/redmine_tags,162
kontena/pharos-cluster,162
itamae-kitchen/mitamae,162
orta/cocoapods-fix-react-native,162
sous-chefs/graphite,161
bikeindex/bike_index,161
BallAerospace/COSMOS,161
aws/aws-sdk-ruby-record,160
yammer/circuitbox,160
tip4commit/tip4commit,159
dwbutler/groupify,158
customink-webops/hostsfile,158
spree/spree_gateway,158
envato/double_entry,158
codeforamerica/ohana-api,157
NetSweet/netsuite,156
DivanteLtd/anonymizer,154
biosistemika/scinote-web,154
onomojo/i18n-country-translations,154
raul/pt,154
hitobito/hitobito,154
axyjo/leaflet-rails,153
neovim/neovim-ruby,152
latera/homs,151
discourse/prometheus_exporter,151
KDE-mac/homebrew-kde,150
everydayrails/everydayrails-rspec-2017,150
DragonBox/u3d,150
exercism/problem-specifications,149
fluent/fluent-plugin-mongo,149
stevekinney/pizza,149
leonid-shevtsov/unobtrusive_flash,149
recurly/recurly-client-ruby,149
expertiza/expertiza,148
vinistock/sail,147
palkan/clowne,147
bluemonk/net-dns,146
puppetlabs/pdk,146
chef/knife-windows,146
SchemaPlus/schema_validations,146
irobayna/stupidedi,145
mixpanel/mixpanel-ruby,145
square/connect-api-examples,145
street-address-rb/street-address,144
ruby-debug/ruby-debug-ide,144
babel/ruby-babel-transpiler,144
gollum/gollum-lib,144
alphagov/e-petitions,143
jekyll/jekyll-mentions,143
renatolond/mastodon-twitter-poster,143
gocardless/coach,143
Email-Dashboard/Email-Dashboard,143
cjheath/treetop,143
chef/chef-provisioning-aws,142
DataDog/ansible-datadog,142
seattlerb/zentest,141
phoet/on_ruby,141
djoos-cookbooks/newrelic,141
whitequark/ast,141
whiteleaf7/narou,141
contribsys/faktory_worker_ruby,141
graylog-labs/gelf-rb,141
sass/ruby-sass,140
Shopify/autoload_reloader,140
apiology/quality,140
logstash-plugins/logstash-output-elasticsearch,139
tdiary/tdiary-core,138
ua-parser/uap-ruby,138
puppetlabs/puppetlabs-ntp,137
fastlane/watchbuild,137
capistrano/npm,137
EFForg/action-center-platform,137
digitalsparky/jekyll-minifier,136
Jellyfishboy/trado,136
monterail/grape-kaminari,136
clbustos/rinruby,135
paritytech/homebrew-paritytech,135
grosser/i18n_data,134
apache/buildr,134
iain/elo,134
spree-contrib/spree_related_products,133
vueonrails/vueonrails,133
mojolingo/sippy_cup,133
lpender/bummr,133
dohliam/libreoffice-impress-templates,133
captn3m0/google-sre-ebook,132
activemerchant/offsite_payments,132
poise/application_ruby,132
hanami/utils,132
sous-chefs/haproxy,131
wvanbergen/adyen,131
RubyMoney/eu_central_bank,131
WikiEducationFoundation/WikiEduDashboard,130
cloudfoundry/cloud_controller_ng,130
MaximeD/gem_updater,130
gate-sso/gate,129
josenk/vagrant-vmware-esxi,129
chefspec/fauxhai,129
procore/blueprinter,128
palkan/action-cable-testing,127
technion/ruby-argon2,126
capistrano/rvm,126
palkan/anyway_config,126
sous-chefs/nagios,126
ashfurrow/danger-ruby-swiftlint,126
fluent/fluent-plugin-prometheus,126
xmpp4r/xmpp4r,126
github/elastomer-client,126
everypolitician/everypolitician-data,126
GoogleCloudPlatform/ruby-docs-samples,125
rom-rb/rom-rails,125
awslabs/amazon-kinesis-client-ruby,124
nix-community/nixbox,124
sous-chefs/ruby_build,123
sensu-plugins/sensu-plugin,123
refinery/refinerycms-news,123
18F/frontend,123
markaby/markaby,122
gitlabhq/omnibus-gitlab,122
puppetlabs/puppetlabs_spec_helper,122
dry-rb/dry-system,121
cloudfoundry-incubator/kubo-release,121
chrisalley/pundit-matchers,121
stevendanna/logrotate,120
puppetlabs/puppetlabs-lvm,120
puppetlabs/puppet-in-docker-examples,120
fluent-plugins-nursery/fluent-plugin-cloudwatch-logs,119
fintech-to-ynab/fintech-to-ynab,119
MikeMcQuaid/TwitterDelete,119
cloudposse/copyright-header,119
rails/actionmailbox,119
breamware/sidekiq-batch,119
campaignmonitor/createsend-ruby,118
chef/mixlib-cli,118
voxpupuli/puppet-mcollective,118
aws-samples/serverless-sinatra-sample,118
zurb/inky-rb,118
yosiat/panko_serializer,118
elovation/elovation,117
express42/zabbixapi,117
toptal/crystalball,117
